Product Code;Origin Country;Destination Country
U;ES;IT
U;ES;PL
W;ES;GB
W;ES;GB
W;ES;GB
W;ES;GB
W;ES;GB
W;ES;GB
W;ES;GB
W;ES;GB
W;ES;GB
P;ES;MX
P;ES;CA
P;ES;TN
P;ES;TN
P;ES;TN
P;ES;TN
D;ES;AR
D;ES;AR
T;ES;AR
U;ES;BG
U;ES;DE
N;ES;ES
P;ES;BR
P;ES;CO
P;ES;CN
P;ES;US
U;ES;GR
P;ES;BO
U;ES;BE
D;ES;BR
D;ES;US
Q;ES;US
P;ES;US
P;ES;US
P;ES;US
P;ES;US
P;ES;US
P;ES;US
P;ES;MX
P;ES;BO
P;ES;ZA
7;ES;PH
U;ES;FR
P;ES;CL
P;ES;MX
P;ES;CL
P;ES;UA
D;ES;AE
P;ES;AE
D;ES;BR
D;ES;BR
D;ES;BR
P;ES;BR
U;ES;BE
P;ES;CO
P;ES;CL
P;ES;US
D;ES;AE
D;ES;AE
D;ES;AE
U;ES;IT
U;ES;IT
D;ES;TR
D;ES;TR
D;ES;TR
D;ES;TR
D;ES;TR
D;ES;TR
P;ES;TR
P;ES;TR
P;ES;TR
P;ES;CN
P;ES;TR
P;ES;IN
P;ES;MA
D;ES;AZ
T;ES;CI
U;ES;BE
U;ES;DE
D;ES;UY
U;ES;DE
P;ES;IN
P;ES;NO
U;ES;BE
U;ES;BE
U;ES;BE
K;ES;BE
D;ES;CA
P;ES;CA
T;ES;BE
Q;ES;CH
Q;ES;CH
N;ES;ES
P;ES;US
D;ES;VN
U;ES;DE
P;ES;CO
P;ES;CA
P;ES;CN
P;ES;EC
P;ES;CN
P;ES;US
U;ES;FR
P;ES;US
P;ES;CO
P;ES;US
P;ES;US
P;ES;AU
P;ES;AO
P;ES;PE
P;ES;US
P;ES;RU
P;ES;PE
P;ES;TR
P;ES;CA
D;ES;CD
D;ES;CI
7;ES;CI
P;ES;US
P;ES;MX
P;ES;US
P;ES;MA
P;ES;EC
P;ES;RU
P;ES;RU
P;ES;BD
P;ES;BD
P;ES;BD
P;ES;BD
P;ES;IN
P;ES;BD
P;ES;BD
P;ES;BD
P;ES;IN
T;ES;BE
N;ES;ES
D;ES;US
U;ES;DE
U;ES;DE
U;ES;DE
P;ES;MX
U;ES;FR
U;ES;FR
P;ES;IN
P;ES;AR
P;ES;CN
P;ES;CN
P;ES;CA
P;ES;US
D;ES;AE
D;ES;AE
D;ES;AE
D;ES;AE
U;ES;AT
T;ES;BE
P;ES;CA
P;ES;CH
U;ES;AT
U;ES;DE
U;ES;DE
N;ES;ES
P;ES;RU
P;ES;NZ
P;ES;CN
P;ES;US
P;ES;CA
P;ES;BH
7;ES;CH
7;ES;CH
P;ES;CO
P;ES;ZA
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
U;ES;SI
P;ES;TR
P;ES;TR
P;ES;MX
P;ES;RU
N;ES;ES
P;ES;RU
P;ES;PR
P;ES;ZA
P;ES;CL
U;ES;DE
U;ES;DE
P;ES;US
P;ES;US
U;ES;DK
U;ES;DK
N;ES;ES
P;ES;CL
P;ES;US
P;ES;US
P;ES;US
P;ES;US
P;ES;CN
P;ES;MX
P;ES;MX
P;ES;CN
P;ES;MX
P;ES;TN
P;ES;RU
P;ES;MX
P;ES;CN
P;ES;US
P;ES;US
P;ES;IN
P;ES;RU
P;ES;MK
P;ES;TR
P;ES;CR
P;ES;CN
P;ES;RU
P;ES;US
P;ES;US
D;ES;TR
P;ES;CL
P;ES;RU
P;ES;CN
P;ES;TR
P;ES;TR
P;ES;TR
P;ES;CN
D;ES;MX
P;ES;US
P;ES;MX
D;ES;CO
U;ES;DE
P;ES;CL
P;ES;CL
P;ES;CN
P;ES;CN
D;ES;US
T;ES;US
P;ES;UY
P;ES;RU
P;ES;RU
P;ES;VN
8;ES;AR
P;ES;KR
P;ES;CO
P;ES;AL
P;ES;RU
P;ES;TN
P;ES;RU
P;ES;KR
P;ES;US
P;ES;MX
P;ES;MX
P;ES;SA
P;ES;AU
P;ES;KZ
P;ES;NZ
P;ES;NZ
P;ES;EC
U;ES;GR
P;ES;MX
P;ES;CN
X;ES;PH
P;ES;TR
P;ES;CN
P;ES;MX
P;ES;CN
P;ES;CN
U;ES;DE
P;ES;CN
D;ES;CM
U;ES;DE
7;ES;DE
U;ES;FR
U;ES;FR
U;ES;FR
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
P;ES;MX
N;ES;ES
P;ES;KR
D;ES;DO
X;ES;DO
U;ES;GR
P;ES;JP
P;ES;AU
P;ES;CL
P;ES;JP
P;ES;CN
D;ES;DO
7;ES;DO
P;ES;CA
P;ES;JP
N;ES;ES
P;ES;RU
P;ES;US
P;ES;US
P;ES;AE
B;ES;NO
B;ES;NO
B;ES;NO
B;ES;NO
B;ES;NO
B;ES;NO
B;ES;NO
B;ES;NO
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
P;ES;AZ
P;ES;CV
U;ES;HR
P;ES;US
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
U;ES;IT
T;ES;IT
P;ES;US
P;ES;CO
P;ES;JP
P;ES;JP
P;ES;NO
P;ES;CN
P;ES;JP
P;ES;CN
P;ES;IN
P;ES;TR
P;ES;MX
P;ES;PE
P;ES;NZ
P;ES;TR
P;ES;US
P;ES;US
P;ES;US
P;ES;US
U;ES;IT
P;ES;CO
P;ES;PE
P;ES;UA
D;ES;TR
P;ES;CA
D;ES;LY
D;ES;LY
P;ES;AU
P;ES;CU
P;ES;IN
P;ES;MX
P;ES;LK
P;ES;ZA
P;ES;RU
P;ES;LK
P;ES;CN
P;ES;US
P;ES;US
P;ES;US
P;ES;RU
P;ES;ZA
P;ES;BD
P;ES;CN
P;ES;BD
P;ES;PA
P;ES;JP
P;ES;CN
P;ES;PA
P;ES;BD
P;ES;MA
P;ES;US
P;ES;PY
P;ES;US
P;ES;US
D;ES;AE
D;ES;AE
D;ES;AE
Y;ES;AE
P;ES;AE
U;ES;IT
U;ES;IT
U;ES;IT
P;ES;KZ
P;ES;SV
P;ES;AR
7;ES;GH
P;ES;HN
P;ES;US
P;ES;CN
D;ES;PK
P;ES;GT
P;ES;IC
P;ES;IC
P;ES;IC
P;ES;MX
P;ES;MX
P;ES;AU
U;ES;DE
P;ES;CN
P;ES;CN
P;ES;CN
P;ES;US
D;ES;BH
P;ES;BH
D;ES;CR
D;ES;CR
P;ES;RU
P;ES;UA
P;ES;ID
P;ES;US
P;ES;DO
P;ES;CN
P;ES;CN
P;ES;AU
P;ES;MX
P;ES;MX
D;ES;CL
7;ES;CL
X;ES;CL
X;ES;CL
T;ES;DE
U;ES;DE
N;ES;ES
N;ES;ES
N;ES;ES
N;ES;ES
N;ES;ES
N;ES;ES
N;ES;ES
